area,perimeter,compactness
10.91,12.8,0.8372
11.23,12.82,0.8594
10.59,12.41,0.8648
10.93,12.8,0.839
11.27,12.86,0.8563
11.87,13.02,0.8795
10.82,12.83,0.8256
12.11,13.27,0.8639
12.8,13.47,0.886
12.79,13.53,0.8786
13.37,13.78,0.8849
12.62,13.67,0.8481
12.76,13.38,0.8964
12.38,13.44,0.8609
12.67,13.32,0.8977
11.18,12.72,0.868
12.7,13.41,0.8874
12.37,13.47,0.8567
12.19,13.2,0.8783
11.23,12.88,0.8511
13.2,13.66,0.8883
11.84,13.21,0.8521
12.3,13.34,0.8684
11.54666667,13.08333333,0.8497
11.09666667,12.92333333,0.83975
10.64666667,12.76333333,0.8298
10.19666667,12.60333333,0.81985
9.746666667,12.44333333,0.8099
9.296666667,12.28333333,0.79995
8.846666667,12.12333333,0.79
8.396666667,11.96333333,0.78005
7.946666667,11.80333333,0.7701
7.496666667,11.64333333,0.76015
7.046666667,11.48333333,0.7502
6.596666667,11.32333333,0.74025
6.146666667,11.16333333,0.7303
5.696666667,11.00333333,0.72035
5.246666667,10.84333333,0.7104
4.796666667,10.68333333,0.70045
4.346666667,10.52333333,0.6905
3.896666667,10.36333333,0.68055
3.446666667,10.20333333,0.6706
2.996666667,10.04333333,0.66065
2.546666667,9.883333333,0.6507
2.096666667,9.723333333,0.64075
1.646666667,9.563333333,0.6308
1.196666667,9.403333333,0.62085
0.746666667,9.243333333,0.6109
0.296666667,9.083333333,0.60095
-0.153333333,8.923333333,0.591
-0.603333333,8.763333333,0.58105
-1.053333333,8.603333333,0.5711
-1.503333333,8.443333333,0.56115
-1.953333333,8.283333333,0.5512
-2.403333333,8.123333333,0.54125
-2.853333333,7.963333333,0.5313
-3.303333333,7.803333333,0.52135
-3.753333333,7.643333333,0.5114
-4.203333333,7.483333333,0.50145
-4.653333333,7.323333333,0.4915
-5.103333333,7.163333333,0.48155
-5.553333333,7.003333333,0.4716
-6.003333333,6.843333333,0.46165
-6.453333333,6.683333333,0.4517
-6.903333333,6.523333333,0.44175
-7.353333333,6.363333333,0.4318
-7.803333333,6.203333333,0.42185
-8.253333333,6.043333333,0.4119
-8.703333333,5.883333333,0.40195
-9.153333333,5.723333333,0.392
-9.603333333,5.563333333,0.38205
-10.05333333,5.403333333,0.3721
-10.50333333,5.243333333,0.36215
-10.95333333,5.083333333,0.3522
-11.40333333,4.923333333,0.34225
-11.85333333,4.763333333,0.3323
-12.30333333,4.603333333,0.32235
-12.75333333,4.443333333,0.3124
-13.20333333,4.283333333,0.30245
-13.65333333,4.123333333,0.2925
-14.10333333,3.963333333,0.28255
-14.55333333,3.803333333,0.2726
-15.00333333,3.643333333,0.26265
-15.45333333,3.483333333,0.2527
-15.90333333,3.323333333,0.24275
-16.35333333,3.163333333,0.2328
-16.80333333,3.003333333,0.22285
-17.25333333,2.843333333,0.2129
-17.70333333,2.683333333,0.20295
-18.15333333,2.523333333,0.193
-18.60333333,2.363333333,0.18305
-19.05333333,2.203333333,0.1731
-19.50333333,2.043333333,0.16315
-19.95333333,1.883333333,0.1532
-20.40333333,1.723333333,0.14325
-20.85333333,1.563333333,0.1333
-21.30333333,1.403333333,0.12335
-21.75333333,1.243333333,0.1134
-22.20333333,1.083333333,0.10345
-22.65333333,0.923333333,0.0935
-23.10333333,0.763333333,0.08355
-23.55333333,0.603333333,0.0736
-24.00333333,0.443333333,0.06365
-24.45333333,0.283333333,0.0537
-24.90333333,0.123333333,0.04375
-25.35333333,-0.036666667,0.0338
-25.80333333,-0.196666667,0.02385
-26.25333333,-0.356666667,0.0139
-26.70333333,-0.516666667,0.00395
-27.15333333,-0.676666667,-0.006
-27.60333333,-0.836666667,-0.01595
-28.05333333,-0.996666667,-0.0259
-28.50333333,-1.156666667,-0.03585
-28.95333333,-1.316666667,-0.0458
-29.40333333,-1.476666667,-0.05575
-29.85333333,-1.636666667,-0.0657
-30.30333333,-1.796666667,-0.07565
-30.75333333,-1.956666667,-0.0856
-31.20333333,-2.116666667,-0.09555
-31.65333333,-2.276666667,-0.1055
-32.10333333,-2.436666667,-0.11545
-32.55333333,-2.596666667,-0.1254
-33.00333333,-2.756666667,-0.13535
-33.45333333,-2.916666667,-0.1453
-33.90333333,-3.076666667,-0.15525
-34.35333333,-3.236666667,-0.1652
-34.80333333,-3.396666667,-0.17515
-35.25333333,-3.556666667,-0.1851
-35.70333333,-3.716666667,-0.19505
-36.15333333,-3.876666667,-0.205
-36.60333333,-4.036666667,-0.21495
-37.05333333,-4.196666667,-0.2249
-37.50333333,-4.356666667,-0.23485
-37.95333333,-4.516666667,-0.2448
-38.40333333,-4.676666667,-0.25475
-38.85333333,-4.836666667,-0.2647
-39.30333333,-4.996666667,-0.27465
-39.75333333,-5.156666667,-0.2846
-40.20333333,-5.316666667,-0.29455
-40.65333333,-5.476666667,-0.3045
-41.10333333,-5.636666667,-0.31445
-41.55333333,-5.796666667,-0.3244
-42.00333333,-5.956666667,-0.33435
-42.45333333,-6.116666667,-0.3443
-42.90333333,-6.276666667,-0.35425
-43.35333333,-6.436666667,-0.3642
-43.80333333,-6.596666667,-0.37415
-44.25333333,-6.756666667,-0.3841
-44.70333333,-6.916666667,-0.39405
-45.15333333,-7.076666667,-0.404
-45.60333333,-7.236666667,-0.41395
-46.05333333,-7.396666667,-0.4239
-46.50333333,-7.556666667,-0.43385
-46.95333333,-7.716666667,-0.4438
-47.40333333,-7.876666667,-0.45375
-47.85333333,-8.036666667,-0.4637
-48.30333333,-8.196666667,-0.47365
-48.75333333,-8.356666667,-0.4836
-49.20333333,-8.516666667,-0.49355
-49.65333333,-8.676666667,-0.5035
-50.10333333,-8.836666667,-0.51345
-50.55333333,-8.996666667,-0.5234
-51.00333333,-9.156666667,-0.53335
-51.45333333,-9.316666667,-0.5433
-51.90333333,-9.476666667,-0.55325
-52.35333333,-9.636666667,-0.5632
-52.80333333,-9.796666667,-0.57315
-53.25333333,-9.956666667,-0.5831
-53.70333333,-10.11666667,-0.59305
-54.15333333,-10.27666667,-0.603
-54.60333333,-10.43666667,-0.61295
-55.05333333,-10.59666667,-0.6229
-55.50333333,-10.75666667,-0.63285
-55.95333333,-10.91666667,-0.6428
-56.40333333,-11.07666667,-0.65275
-56.85333333,-11.23666667,-0.6627
-57.30333333,-11.39666667,-0.67265
-57.75333333,-11.55666667,-0.6826
-58.20333333,-11.71666667,-0.69255
-58.65333333,-11.87666667,-0.7025
-59.10333333,-12.03666667,-0.71245
-59.55333333,-12.19666667,-0.7224
-60.00333333,-12.35666667,-0.73235
-60.45333333,-12.51666667,-0.7423
-60.90333333,-12.67666667,-0.75225
-61.35333333,-12.83666667,-0.7622
-61.80333333,-12.99666667,-0.77215
-62.25333333,-13.15666667,-0.7821
-62.70333333,-13.31666667,-0.79205
-63.15333333,-13.47666667,-0.802
-63.60333333,-13.63666667,-0.81195
-64.05333333,-13.79666667,-0.8219
-64.50333333,-13.95666667,-0.83185
-64.95333333,-14.11666667,-0.8418
-65.40333333,-14.27666667,-0.85175
-65.85333333,-14.43666667,-0.8617
-66.30333333,-14.59666667,-0.87165
-66.75333333,-14.75666667,-0.8816
-67.20333333,-14.91666667,-0.89155
-67.65333333,-15.07666667,-0.9015
-68.10333333,-15.23666667,-0.91145
-68.55333333,-15.39666667,-0.9214
-69.00333333,-15.55666667,-0.93135
-69.45333333,-15.71666667,-0.9413
-69.90333333,-15.87666667,-0.95125
-70.35333333,-16.03666667,-0.9612
-70.80333333,-16.19666667,-0.97115
-71.25333333,-16.35666667,-0.9811
-71.70333333,-16.51666667,-0.99105
-72.15333333,-16.67666667,-1.001
-72.60333333,-16.83666667,-1.01095
-73.05333333,-16.99666667,-1.0209
-73.50333333,-17.15666667,-1.03085
-73.95333333,-17.31666667,-1.0408
-74.40333333,-17.47666667,-1.05075
-74.85333333,-17.63666667,-1.0607
-75.30333333,-17.79666667,-1.07065
-75.75333333,-17.95666667,-1.0806
-76.20333333,-18.11666667,-1.09055
-76.65333333,-18.27666667,-1.1005
-77.10333333,-18.43666667,-1.11045
-77.55333333,-18.59666667,-1.1204
-78.00333333,-18.75666667,-1.13035
-78.45333333,-18.91666667,-1.1403
-78.90333333,-19.07666667,-1.15025
-79.35333333,-19.23666667,-1.1602
-79.80333333,-19.39666667,-1.17015
-80.25333333,-19.55666667,-1.1801
-80.70333333,-19.71666667,-1.19005
-81.15333333,-19.87666667,-1.2
-81.60333333,-20.03666667,-1.20995
-82.05333333,-20.19666667,-1.2199
-82.50333333,-20.35666667,-1.22985
-82.95333333,-20.51666667,-1.2398
-83.40333333,-20.67666667,-1.24975
-83.85333333,-20.83666667,-1.2597
-84.30333333,-20.99666667,-1.26965
-84.75333333,-21.15666667,-1.2796
-85.20333333,-21.31666667,-1.28955
-85.65333333,-21.47666667,-1.2995
-86.10333333,-21.63666667,-1.30945
-86.55333333,-21.79666667,-1.3194
-87.00333333,-21.95666667,-1.32935
-87.45333333,-22.11666667,-1.3393
-87.90333333,-22.27666667,-1.34925
-88.35333333,-22.43666667,-1.3592
-88.80333333,-22.59666667,-1.36915
-89.25333333,-22.75666667,-1.3791
-89.70333333,-22.91666667,-1.38905
-90.15333333,-23.07666667,-1.399
-90.60333333,-23.23666667,-1.40895
-91.05333333,-23.39666667,-1.4189
-91.50333333,-23.55666667,-1.42885
-91.95333333,-23.71666667,-1.4388
-92.40333333,-23.87666667,-1.44875
-92.85333333,-24.03666667,-1.4587
-93.30333333,-24.19666667,-1.46865
-93.75333333,-24.35666667,-1.4786
-94.20333333,-24.51666667,-1.48855
-94.65333333,-24.67666667,-1.4985
-95.10333333,-24.83666667,-1.50845
-95.55333333,-24.99666667,-1.5184
-96.00333333,-25.15666667,-1.52835
-96.45333333,-25.31666667,-1.5383
-96.90333333,-25.47666667,-1.54825
-97.35333333,-25.63666667,-1.5582
-97.80333333,-25.79666667,-1.56815
-98.25333333,-25.95666667,-1.5781
-98.70333333,-26.11666667,-1.58805
-99.15333333,-26.27666667,-1.598
-99.60333333,-26.43666667,-1.60795
-100.0533333,-26.59666667,-1.6179
-100.5033333,-26.75666667,-1.62785
-100.9533333,-26.91666667,-1.6378
-101.4033333,-27.07666667,-1.64775
-101.8533333,-27.23666667,-1.6577
-102.3033333,-27.39666667,-1.66765
-102.7533333,-27.55666667,-1.6776
-103.2033333,-27.71666667,-1.68755
-103.6533333,-27.87666667,-1.6975
-104.1033333,-28.03666667,-1.70745
-104.5533333,-28.19666667,-1.7174
-105.0033333,-28.35666667,-1.72735
-105.4533333,-28.51666667,-1.7373
-105.9033333,-28.67666667,-1.74725
-106.3533333,-28.83666667,-1.7572
-106.8033333,-28.99666667,-1.76715
-107.2533333,-29.15666667,-1.7771
-107.7033333,-29.31666667,-1.78705
-108.1533333,-29.47666667,-1.797
-108.6033333,-29.63666667,-1.80695
-109.0533333,-29.79666667,-1.8169
-109.5033333,-29.95666667,-1.82685
-109.9533333,-30.11666667,-1.8368
-110.4033333,-30.27666667,-1.84675
-110.8533333,-30.43666667,-1.8567
-111.3033333,-30.59666667,-1.86665
-111.7533333,-30.75666667,-1.8766
-112.2033333,-30.91666667,-1.88655
-112.6533333,-31.07666667,-1.8965
-113.1033333,-31.23666667,-1.90645
-113.5533333,-31.39666667,-1.9164
-114.0033333,-31.55666667,-1.92635
-114.4533333,-31.71666667,-1.9363
-114.9033333,-31.87666667,-1.94625
-115.3533333,-32.03666667,-1.9562
-115.8033333,-32.19666667,-1.96615
-116.2533333,-32.35666667,-1.9761
-116.7033333,-32.51666667,-1.98605
-117.1533333,-32.67666667,-1.996
-117.6033333,-32.83666667,-2.00595
-118.0533333,-32.99666667,-2.0159
-118.5033333,-33.15666667,-2.02585
-118.9533333,-33.31666667,-2.0358
-119.4033333,-33.47666667,-2.04575
-119.8533333,-33.63666667,-2.0557
-120.3033333,-33.79666667,-2.06565
-120.7533333,-33.95666667,-2.0756
-121.2033333,-34.11666667,-2.08555
-121.6533333,-34.27666667,-2.0955
-122.1033333,-34.43666667,-2.10545
-122.5533333,-34.59666667,-2.1154
-123.0033333,-34.75666667,-2.12535
-123.4533333,-34.91666667,-2.1353
-123.9033333,-35.07666667,-2.14525
-124.3533333,-35.23666667,-2.1552
-124.8033333,-35.39666667,-2.16515
-125.2533333,-35.55666667,-2.1751
-125.7033333,-35.71666667,-2.18505
-126.1533333,-35.87666667,-2.195
-126.6033333,-36.03666667,-2.20495
-127.0533333,-36.19666667,-2.2149
-127.5033333,-36.35666667,-2.22485
-127.9533333,-36.51666667,-2.2348
-128.4033333,-36.67666667,-2.24475
-128.8533333,-36.83666667,-2.2547
-129.3033333,-36.99666667,-2.26465
-129.7533333,-37.15666667,-2.2746
-130.2033333,-37.31666667,-2.28455
-130.6533333,-37.47666667,-2.2945
-131.1033333,-37.63666667,-2.30445
-131.5533333,-37.79666667,-2.3144
-132.0033333,-37.95666667,-2.32435
-132.4533333,-38.11666667,-2.3343
-132.9033333,-38.27666667,-2.34425
-133.3533333,-38.43666667,-2.3542
-133.8033333,-38.59666667,-2.36415
-134.2533333,-38.75666667,-2.3741
-134.7033333,-38.91666667,-2.38405
-135.1533333,-39.07666667,-2.394
-135.6033333,-39.23666667,-2.40395
-136.0533333,-39.39666667,-2.4139
-136.5033333,-39.55666667,-2.42385
-136.9533333,-39.71666667,-2.4338
-137.4033333,-39.87666667,-2.44375
-137.8533333,-40.03666667,-2.4537
-138.3033333,-40.19666667,-2.46365
-138.7533333,-40.35666667,-2.4736
-139.2033333,-40.51666667,-2.48355
-139.6533333,-40.67666667,-2.4935
-140.1033333,-40.83666667,-2.50345
-140.5533333,-40.99666667,-2.5134
-141.0033333,-41.15666667,-2.52335
-141.4533333,-41.31666667,-2.5333
-141.9033333,-41.47666667,-2.54325
-142.3533333,-41.63666667,-2.5532
-142.8033333,-41.79666667,-2.56315
-143.2533333,-41.95666667,-2.5731
-143.7033333,-42.11666667,-2.58305
-144.1533333,-42.27666667,-2.593
-144.6033333,-42.43666667,-2.60295
-145.0533333,-42.59666667,-2.6129
-145.5033333,-42.75666667,-2.62285
-145.9533333,-42.91666667,-2.6328
-146.4033333,-43.07666667,-2.64275
-146.8533333,-43.23666667,-2.6527
-147.3033333,-43.39666667,-2.66265
-147.7533333,-43.55666667,-2.6726
-148.2033333,-43.71666667,-2.68255
-148.6533333,-43.87666667,-2.6925
-149.1033333,-44.03666667,-2.70245
-149.5533333,-44.19666667,-2.7124
-150.0033333,-44.35666667,-2.72235
-150.4533333,-44.51666667,-2.7323
-150.9033333,-44.67666667,-2.74225
-151.3533333,-44.83666667,-2.7522
-151.8033333,-44.99666667,-2.76215
-152.2533333,-45.15666667,-2.7721
-152.7033333,-45.31666667,-2.78205
-153.1533333,-45.47666667,-2.792
-153.6033333,-45.63666667,-2.80195
-154.0533333,-45.79666667,-2.8119
-154.5033333,-45.95666667,-2.82185
-154.9533333,-46.11666667,-2.8318
-155.4033333,-46.27666667,-2.84175
-155.8533333,-46.43666667,-2.8517
-156.3033333,-46.59666667,-2.86165
-156.7533333,-46.75666667,-2.8716
-157.2033333,-46.91666667,-2.88155
-157.6533333,-47.07666667,-2.8915
-158.1033333,-47.23666667,-2.90145
-158.5533333,-47.39666667,-2.9114
-159.0033333,-47.55666667,-2.92135
-159.4533333,-47.71666667,-2.9313
-159.9033333,-47.87666667,-2.94125
-160.3533333,-48.03666667,-2.9512
-160.8033333,-48.19666667,-2.96115
-161.2533333,-48.35666667,-2.9711
-161.7033333,-48.51666667,-2.98105
-162.1533333,-48.67666667,-2.991
-162.6033333,-48.83666667,-3.00095
-163.0533333,-48.99666667,-3.0109
-163.5033333,-49.15666667,-3.02085
-163.9533333,-49.31666667,-3.0308
-164.4033333,-49.47666667,-3.04075
-164.8533333,-49.63666667,-3.0507
-165.3033333,-49.79666667,-3.06065
-165.7533333,-49.95666667,-3.0706
-166.2033333,-50.11666667,-3.08055
-166.6533333,-50.27666667,-3.0905
-167.1033333,-50.43666667,-3.10045
-167.5533333,-50.59666667,-3.1104
-168.0033333,-50.75666667,-3.12035
-168.4533333,-50.91666667,-3.1303
-168.9033333,-51.07666667,-3.14025
-169.3533333,-51.23666667,-3.1502
-169.8033333,-51.39666667,-3.16015
-170.2533333,-51.55666667,-3.1701
-170.7033333,-51.71666667,-3.18005
-171.1533333,-51.87666667,-3.19
-171.6033333,-52.03666667,-3.19995
-172.0533333,-52.19666667,-3.2099
-172.5033333,-52.35666667,-3.21985
-172.9533333,-52.51666667,-3.2298
-173.4033333,-52.67666667,-3.23975
-173.8533333,-52.83666667,-3.2497
-174.3033333,-52.99666667,-3.25965
-174.7533333,-53.15666667,-3.2696
-175.2033333,-53.31666667,-3.27955
-175.6533333,-53.47666667,-3.2895
-176.1033333,-53.63666667,-3.29945
-176.5533333,-53.79666667,-3.3094
-177.0033333,-53.95666667,-3.31935
-177.4533333,-54.11666667,-3.3293
-177.9033333,-54.27666667,-3.33925
-178.3533333,-54.43666667,-3.3492
-178.8033333,-54.59666667,-3.35915
-179.2533333,-54.75666667,-3.3691
-179.7033333,-54.91666667,-3.37905
-180.1533333,-55.07666667,-3.389
-180.6033333,-55.23666667,-3.39895
-181.0533333,-55.39666667,-3.4089
-181.5033333,-55.55666667,-3.41885
-181.9533333,-55.71666667,-3.4288
-182.4033333,-55.87666667,-3.43875
-182.8533333,-56.03666667,-3.4487
-183.3033333,-56.19666667,-3.45865
-183.7533333,-56.35666667,-3.4686
-184.2033333,-56.51666667,-3.47855
-184.6533333,-56.67666667,-3.4885
-185.1033333,-56.83666667,-3.49845
-185.5533333,-56.99666667,-3.5084
-186.0033333,-57.15666667,-3.51835
-186.4533333,-57.31666667,-3.5283
-186.9033333,-57.47666667,-3.53825
-187.3533333,-57.63666667,-3.5482
-187.8033333,-57.79666667,-3.55815
-188.2533333,-57.95666667,-3.5681
-188.7033333,-58.11666667,-3.57805
-189.1533333,-58.27666667,-3.588
-189.6033333,-58.43666667,-3.59795
-190.0533333,-58.59666667,-3.6079
-190.5033333,-58.75666667,-3.61785
-190.9533333,-58.91666667,-3.6278
-191.4033333,-59.07666667,-3.63775
-191.8533333,-59.23666667,-3.6477
-192.3033333,-59.39666667,-3.65765
-192.7533333,-59.55666667,-3.6676
-193.2033333,-59.71666667,-3.67755
-193.6533333,-59.87666667,-3.6875
-194.1033333,-60.03666667,-3.69745
-194.5533333,-60.19666667,-3.7074
-195.0033333,-60.35666667,-3.71735
-195.4533333,-60.51666667,-3.7273
-195.9033333,-60.67666667,-3.73725
-196.3533333,-60.83666667,-3.7472
-196.8033333,-60.99666667,-3.75715
-197.2533333,-61.15666667,-3.7671
-197.7033333,-61.31666667,-3.77705
-198.1533333,-61.47666667,-3.787
-198.6033333,-61.63666667,-3.79695
-199.0533333,-61.79666667,-3.8069
-199.5033333,-61.95666667,-3.81685
-199.9533333,-62.11666667,-3.8268
-200.4033333,-62.27666667,-3.83675
-200.8533333,-62.43666667,-3.8467
-201.3033333,-62.59666667,-3.85665
-201.7533333,-62.75666667,-3.8666
-202.2033333,-62.91666667,-3.87655
-202.6533333,-63.07666667,-3.8865
-203.1033333,-63.23666667,-3.89645
-203.5533333,-63.39666667,-3.9064
-204.0033333,-63.55666667,-3.91635
-204.4533333,-63.71666667,-3.9263
-204.9033333,-63.87666667,-3.93625
-205.3533333,-64.03666667,-3.9462
-205.8033333,-64.19666667,-3.95615
-206.2533333,-64.35666667,-3.9661
-206.7033333,-64.51666667,-3.97605
-207.1533333,-64.67666667,-3.986
-207.6033333,-64.83666667,-3.99595
-208.0533333,-64.99666667,-4.0059
-208.5033333,-65.15666667,-4.01585
-208.9533333,-65.31666667,-4.0258
-209.4033333,-65.47666667,-4.03575
-209.8533333,-65.63666667,-4.0457
-210.3033333,-65.79666667,-4.05565
-210.7533333,-65.95666667,-4.0656
-211.2033333,-66.11666667,-4.07555
-211.6533333,-66.27666667,-4.0855
-212.1033333,-66.43666667,-4.09545
-212.5533333,-66.59666667,-4.1054
-213.0033333,-66.75666667,-4.11535
-213.4533333,-66.91666667,-4.1253
-213.9033333,-67.07666667,-4.13525
-214.3533333,-67.23666667,-4.1452
-214.8033333,-67.39666667,-4.15515
-215.2533333,-67.55666667,-4.1651
-215.7033333,-67.71666667,-4.17505
-216.1533333,-67.87666667,-4.185
-216.6033333,-68.03666667,-4.19495
-217.0533333,-68.19666667,-4.2049
-217.5033333,-68.35666667,-4.21485
-217.9533333,-68.51666667,-4.2248
-218.4033333,-68.67666667,-4.23475
-218.8533333,-68.83666667,-4.2447
-219.3033333,-68.99666667,-4.25465
-219.7533333,-69.15666667,-4.2646
-220.2033333,-69.31666667,-4.27455
-220.6533333,-69.47666667,-4.2845
-221.1033333,-69.63666667,-4.29445
-221.5533333,-69.79666667,-4.3044
-222.0033333,-69.95666667,-4.31435
-222.4533333,-70.11666667,-4.3243
-222.9033333,-70.27666667,-4.33425
-223.3533333,-70.43666667,-4.3442
-223.8033333,-70.59666667,-4.35415
-224.2533333,-70.75666667,-4.3641
-224.7033333,-70.91666667,-4.37405
-225.1533333,-71.07666667,-4.384
-225.6033333,-71.23666667,-4.39395
-226.0533333,-71.39666667,-4.4039
-226.5033333,-71.55666667,-4.41385
-226.9533333,-71.71666667,-4.4238
-227.4033333,-71.87666667,-4.43375
-227.8533333,-72.03666667,-4.4437
-228.3033333,-72.19666667,-4.45365
-228.7533333,-72.35666667,-4.4636
-229.2033333,-72.51666667,-4.47355
-229.6533333,-72.67666667,-4.4835
-230.1033333,-72.83666667,-4.49345
-230.5533333,-72.99666667,-4.5034
-231.0033333,-73.15666667,-4.51335
-231.4533333,-73.31666667,-4.5233
-231.9033333,-73.47666667,-4.53325
-232.3533333,-73.63666667,-4.5432
-232.8033333,-73.79666667,-4.55315
-233.2533333,-73.95666667,-4.5631
-233.7033333,-74.11666667,-4.57305
-234.1533333,-74.27666667,-4.583
-234.6033333,-74.43666667,-4.59295
-235.0533333,-74.59666667,-4.6029
-235.5033333,-74.75666667,-4.61285
-235.9533333,-74.91666667,-4.6228
-236.4033333,-75.07666667,-4.63275
-236.8533333,-75.23666667,-4.6427
-237.3033333,-75.39666667,-4.65265
-237.7533333,-75.55666667,-4.6626
-238.2033333,-75.71666667,-4.67255
-238.6533333,-75.87666667,-4.6825
-239.1033333,-76.03666667,-4.69245
-239.5533333,-76.19666667,-4.7024
-240.0033333,-76.35666667,-4.71235
-240.4533333,-76.51666667,-4.7223
-240.9033333,-76.67666667,-4.73225
-241.3533333,-76.83666667,-4.7422
-241.8033333,-76.99666667,-4.75215
-242.2533333,-77.15666667,-4.7621
-242.7033333,-77.31666667,-4.77205
-243.1533333,-77.47666667,-4.782
-243.6033333,-77.63666667,-4.79195
-244.0533333,-77.79666667,-4.8019
-244.5033333,-77.95666667,-4.81185
-244.9533333,-78.11666667,-4.8218
-245.4033333,-78.27666667,-4.83175
-245.8533333,-78.43666667,-4.8417
-246.3033333,-78.59666667,-4.85165
-246.7533333,-78.75666667,-4.8616
